PZIO	Stapleton Library Children's Collection	Open	Non Circulating		Circ Desk	Stapleton Library
SHAFER	Stapleton Library Schafer Collection					
PZII	Stapleton Library Stapleton Stacks					
PZIT	Stapleton Library Textbook Collection					
PZI1	Orendorff Music Library Books & Scores					
PZI2	Orendorff Music Library Sound Recordings					
GNOV	Stapleton Library Graphic Novels					
ETD	Stapleton  Library Theses & Dissertations					
PZIQ	Stapleton Library Media Resources					
CIRCMUSIC	Orendorff Music Library
LDC	Orendorff Music Library
LDN	Orendorff Music Library
MUSRES	Orendorff Music Library
PZI0	Orendorff Music Library
PZI9	Orendorff Music Library
UNASSIGNED	Orendorff Music Library
PZISer	Orendorff Music Library
PZI4	Orendorff Music Library
CIRCMEDIA	Stapleton Library
DEAN	Stapleton Library
SPECCOLL	Stapleton Library
NPC	Northpointe Regional Campus Library
PXYRES	Punxsutawney Regional Campus Library
PZI5	Punxsutawney Regional Campus Library
PZI6	Punxsutawney Regional Campus Library
ILL	Resource Sharing Library
IN_RS_REQ	Resource Sharing Library
None	Resource Sharing Library
OUT_RS_REQ	Resource Sharing Library
ResourceLocated	Resource Sharing Library
